transaction_id,amount,root_cause,predicted_probability,proposed_action,final_action,policy_allowed,policy_reason,policy_violations,outcome,recovered_amount,timestamp
pay_00000000000042,54663,RETRY_LIMIT,0.0492,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630967
pay_00000000000043,716432,UPI_FAILURE,0.4304,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,716432,1788630967
pay_00000000000044,1307930,CARD_FAILURE,0.4819,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,1307930,1788630967
pay_00000000000045,138034,USER_ABANDONMENT,0.87,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,138034,1788630967
pay_00000000000046,623962,UPI_FAILURE,0.7745,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000047,98301,RETRY_LIMIT,0.5467,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630968
pay_00000000000048,140977,NETWORK_TIMEOUT,0.9605,retry,retry,True,Action permitted under current policy.,[],SUCCESS,140977,1788630968
pay_00000000000049,258633,NETWORK_TIMEOUT,0.9782,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630968
pay_00000000000050,339179,USER_ABANDONMENT,0.328,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,339179,1788630968
pay_00000000000051,205164,NETWORK_TIMEOUT,0.9319,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630968
pay_00000000000052,2514825,USER_ABANDONMENT,0.192,send_reminder,stop,False,P(recovery)=0.19 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630968
pay_00000000000053,231644,UPI_FAILURE,0.7348,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000054,86910,CARD_FAILURE,0.2951,retry,retry,True,Action permitted under current policy.,[],SUCCESS,86910,1788630968
pay_00000000000055,681981,USER_ABANDONMENT,0.3162,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000056,137850,NETWORK_TIMEOUT,0.9651,retry,retry,True,Action permitted under current policy.,[],SUCCESS,137850,1788630968
pay_00000000000057,131616,CARD_FAILURE,0.6975,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,131616,1788630968
pay_00000000000058,107878,BANK_DECLINE,0.6469,send_reminder,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630968
pay_00000000000059,320128,UPI_FAILURE,0.8482,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,320128,1788630968
pay_00000000000060,359398,USER_ABANDONMENT,0.2697,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,359398,1788630968
pay_00000000000061,676392,USER_ABANDONMENT,0.8083,send_reminder,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630968
pay_00000000000062,4350518,NETWORK_TIMEOUT,0.9186,retry,retry,True,Action permitted under current policy.,[],SUCCESS,4350518,1788630968
pay_00000000000063,220966,CARD_FAILURE,0.3846,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000064,4814210,NETWORK_TIMEOUT,0.8575,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000065,280521,CARD_FAILURE,0.3662,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,280521,1788630968
pay_00000000000066,98986,RETRY_LIMIT,0.101,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630968
pay_00000000000067,144448,UPI_FAILURE,0.692,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,144448,1788630968
pay_00000000000068,665060,NETWORK_TIMEOUT,0.9856,retry,retry,True,Action permitted under current policy.,[],SUCCESS,665060,1788630968
pay_00000000000069,2785887,RETRY_LIMIT,0.2281,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630968
pay_00000000000070,728083,NETWORK_TIMEOUT,0.935,retry,retry,True,Action permitted under current policy.,[],SUCCESS,728083,1788630968
pay_00000000000071,89924,UPI_FAILURE,0.8521,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,89924,1788630968
pay_00000000000072,145390,USER_ABANDONMENT,0.7001,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,145390,1788630968
pay_00000000000073,51685,USER_ABANDONMENT,0.2321,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000074,202995,RETRY_LIMIT,0.0895,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630968
pay_00000000000075,726566,UPI_FAILURE,0.8061,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000076,4096341,UPI_FAILURE,0.8384,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000077,2708770,BANK_DECLINE,0.3409,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,2708770,1788630968
pay_00000000000078,331594,NETWORK_TIMEOUT,0.9013,retry,retry,True,Action permitted under current policy.,[],SUCCESS,331594,1788630968
pay_00000000000079,451769,UPI_FAILURE,0.5462,switch_to_card,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of switch_to_card.,['attempt_ceiling_exceeded'],FAILURE,0,1788630968
pay_00000000000080,33133,RETRY_LIMIT,0.846,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630968
pay_00000000000081,189110,CARD_FAILURE,0.5629,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,189110,1788630968
pay_00000000000082,268118,NETWORK_TIMEOUT,0.1512,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630968
pay_00000000000083,62415,USER_ABANDONMENT,0.4123,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000084,2652617,USER_ABANDONMENT,0.4068,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000085,741573,BANK_DECLINE,0.2441,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630968
pay_00000000000086,80604,CARD_FAILURE,0.477,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000087,136828,CARD_FAILURE,0.7934,switch_to_upi,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of switch_to_upi.,['attempt_ceiling_exceeded'],FAILURE,0,1788630969
pay_00000000000088,134715,CARD_FAILURE,0.8657,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000089,126926,UPI_FAILURE,0.529,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,126926,1788630969
pay_00000000000090,699939,CARD_FAILURE,0.8232,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,699939,1788630969
pay_00000000000091,621635,NETWORK_TIMEOUT,0.8368,retry,retry,True,Action permitted under current policy.,[],SUCCESS,621635,1788630969
pay_00000000000092,565898,NETWORK_TIMEOUT,0.9242,retry,retry,True,Action permitted under current policy.,[],SUCCESS,565898,1788630969
pay_00000000000093,936062,USER_ABANDONMENT,0.1612,send_reminder,stop,False,P(recovery)=0.16 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630969
pay_00000000000094,124199,NETWORK_TIMEOUT,0.8836,retry,retry,True,Action permitted under current policy.,[],SUCCESS,124199,1788630969
pay_00000000000095,89758,BANK_DECLINE,0.5432,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000096,149980,CARD_FAILURE,0.9155,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,149980,1788630969
pay_00000000000097,91176,NETWORK_TIMEOUT,0.988,retry,retry,True,Action permitted under current policy.,[],SUCCESS,91176,1788630969
pay_00000000000098,4466562,USER_ABANDONMENT,0.3219,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000099,40214,CARD_FAILURE,0.8673,retry,retry,True,Action permitted under current policy.,[],SUCCESS,40214,1788630969
pay_00000000000100,4271290,CARD_FAILURE,0.8554,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,4271290,1788630969
pay_00000000000101,355047,NETWORK_TIMEOUT,0.9595,retry,retry,True,Action permitted under current policy.,[],SUCCESS,355047,1788630969
pay_00000000000102,116321,CARD_FAILURE,0.8028,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000103,59692,NETWORK_TIMEOUT,0.9231,retry,retry,True,Action permitted under current policy.,[],SUCCESS,59692,1788630969
pay_00000000000104,792439,UPI_FAILURE,0.8668,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000105,23219,USER_ABANDONMENT,0.8097,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,23219,1788630969
pay_00000000000106,737044,RETRY_LIMIT,0.0803,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630969
pay_00000000000107,45830,USER_ABANDONMENT,0.1265,send_reminder,stop,False,P(recovery)=0.13 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630969
pay_00000000000108,35448,NETWORK_TIMEOUT,0.8827,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000109,3811838,BANK_DECLINE,0.1839,send_reminder,stop,False,P(recovery)=0.18 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630969
pay_00000000000110,669373,UPI_FAILURE,0.7918,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,669373,1788630969
pay_00000000000111,126260,UPI_FAILURE,0.9091,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,126260,1788630969
pay_00000000000112,212165,NETWORK_TIMEOUT,0.8959,retry,retry,True,Action permitted under current policy.,[],SUCCESS,212165,1788630969
pay_00000000000113,144551,UPI_FAILURE,0.5825,switch_to_card,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of switch_to_card.,['attempt_ceiling_exceeded'],FAILURE,0,1788630969
pay_00000000000114,254411,BANK_DECLINE,0.5064,send_reminder,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630969
pay_00000000000115,249807,USER_ABANDONMENT,0.854,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000116,299792,NETWORK_TIMEOUT,0.974,retry,retry,True,Action permitted under current policy.,[],SUCCESS,299792,1788630969
pay_00000000000117,38327,NETWORK_TIMEOUT,0.5081,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630969
pay_00000000000118,85481,NETWORK_TIMEOUT,0.9843,retry,retry,True,Action permitted under current policy.,[],SUCCESS,85481,1788630969
pay_00000000000119,712628,USER_ABANDONMENT,0.3121,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000120,792039,USER_ABANDONMENT,0.5729,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,792039,1788630969
pay_00000000000121,125789,NETWORK_TIMEOUT,0.8623,retry,retry,True,Action permitted under current policy.,[],SUCCESS,125789,1788630969
pay_00000000000122,1185721,RETRY_LIMIT,0.2526,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630969
pay_00000000000123,570400,RETRY_LIMIT,0.196,stop,stop,True,Action permitted under current policy.,[],NO_ACTION,0,1788630969
pay_00000000000124,3706012,BANK_DECLINE,0.5889,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630969
pay_00000000000125,147736,NETWORK_TIMEOUT,0.9881,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000126,120944,NETWORK_TIMEOUT,0.9282,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630970
pay_00000000000127,2882210,CARD_FAILURE,0.7797,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000128,72505,UPI_FAILURE,0.6021,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000129,23864,NETWORK_TIMEOUT,0.8507,retry,retry,True,Action permitted under current policy.,[],SUCCESS,23864,1788630970
pay_00000000000130,125141,CARD_FAILURE,0.8703,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000131,40922,USER_ABANDONMENT,0.1197,send_reminder,stop,False,P(recovery)=0.12 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630970
pay_00000000000132,149499,NETWORK_TIMEOUT,0.9705,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000133,112345,CARD_FAILURE,0.6278,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,112345,1788630970
pay_00000000000134,115529,UPI_FAILURE,0.4871,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,115529,1788630970
pay_00000000000135,618325,USER_ABANDONMENT,0.711,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,618325,1788630970
pay_00000000000136,185035,BANK_DECLINE,0.5083,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000137,33272,USER_ABANDONMENT,0.4735,send_reminder,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of send_reminder.,['attempt_ceiling_exceeded'],FAILURE,0,1788630970
pay_00000000000138,30739,USER_ABANDONMENT,0.6387,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000139,2708515,NETWORK_TIMEOUT,0.9665,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000140,2202279,USER_ABANDONMENT,0.8435,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,2202279,1788630970
pay_00000000000141,766118,NETWORK_TIMEOUT,0.7668,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630970
pay_00000000000142,99777,CARD_FAILURE,0.8337,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,99777,1788630970
pay_00000000000143,3936586,BANK_DECLINE,0.6105,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000144,140989,USER_ABANDONMENT,0.552,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,140989,1788630970
pay_00000000000145,366773,CARD_FAILURE,0.5841,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630970
pay_00000000000146,87045,USER_ABANDONMENT,0.705,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000147,671533,USER_ABANDONMENT,0.2827,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000148,36769,CARD_FAILURE,0.9003,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000149,462848,BANK_DECLINE,0.6339,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000150,242318,UPI_FAILURE,0.5971,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,242318,1788630970
pay_00000000000151,144316,NETWORK_TIMEOUT,0.9686,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630970
pay_00000000000152,134890,UPI_FAILURE,0.2498,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,134890,1788630970
pay_00000000000153,589170,NETWORK_TIMEOUT,0.9287,retry,retry,True,Action permitted under current policy.,[],SUCCESS,589170,1788630970
pay_00000000000154,20358,NETWORK_TIMEOUT,0.2699,retry,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of retry.,['attempt_ceiling_exceeded'],FAILURE,0,1788630970
pay_00000000000155,881137,NETWORK_TIMEOUT,0.8488,retry,retry,True,Action permitted under current policy.,[],SUCCESS,881137,1788630970
pay_00000000000156,317138,CARD_FAILURE,0.5383,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,317138,1788630970
pay_00000000000157,2678921,CARD_FAILURE,0.2743,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000158,228501,CARD_FAILURE,0.7421,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000159,725771,NETWORK_TIMEOUT,0.8578,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000160,252170,BANK_DECLINE,0.274,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,252170,1788630971
pay_00000000000161,504349,CARD_FAILURE,0.6739,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000162,487477,CARD_FAILURE,0.8469,retry,retry,True,Action permitted under current policy.,[],SUCCESS,487477,1788630971
pay_00000000000163,289116,NETWORK_TIMEOUT,0.1331,retry,stop,False,P(recovery)=0.13 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630971
pay_00000000000164,122961,USER_ABANDONMENT,0.3056,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,122961,1788630971
pay_00000000000165,199261,CARD_FAILURE,0.2148,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,199261,1788630971
pay_00000000000166,458467,NETWORK_TIMEOUT,0.5223,retry,retry,True,Action permitted under current policy.,[],SUCCESS,458467,1788630971
pay_00000000000167,342800,NETWORK_TIMEOUT,0.9558,retry,retry,True,Action permitted under current policy.,[],SUCCESS,342800,1788630971
pay_00000000000168,3492214,CARD_FAILURE,0.4433,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,3492214,1788630971
pay_00000000000169,373530,NETWORK_TIMEOUT,0.9541,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000170,102603,CARD_FAILURE,0.8446,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000171,106602,NETWORK_TIMEOUT,0.9451,retry,retry,True,Action permitted under current policy.,[],SUCCESS,106602,1788630971
pay_00000000000172,239261,USER_ABANDONMENT,0.7015,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000173,454771,USER_ABANDONMENT,0.1767,send_reminder,stop,False,P(recovery)=0.18 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630971
pay_00000000000174,2214650,BANK_DECLINE,0.214,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000175,1441412,NETWORK_TIMEOUT,0.8502,retry,retry,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000176,244952,CARD_FAILURE,0.7292,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000177,107632,CARD_FAILURE,0.9352,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000178,3760323,CARD_FAILURE,0.6625,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,3760323,1788630971
pay_00000000000179,108503,USER_ABANDONMENT,0.295,send_reminder,send_reminder,True,Action permitted under current policy.,[],SUCCESS,108503,1788630971
pay_00000000000180,447223,USER_ABANDONMENT,0.6063,send_reminder,send_reminder,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000181,2054610,UPI_FAILURE,0.4307,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],SUCCESS,2054610,1788630971
pay_00000000000182,390633,CARD_FAILURE,0.114,switch_to_upi,escalate,False,Attempt 3 >= escalation threshold (3); escalating instead of switch_to_upi.,['attempt_ceiling_exceeded'],FAILURE,0,1788630971
pay_00000000000183,105792,CARD_FAILURE,0.8592,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,105792,1788630971
pay_00000000000184,60193,CARD_FAILURE,0.2283,switch_to_upi,switch_to_upi,True,Action permitted under current policy.,[],SUCCESS,60193,1788630971
pay_00000000000185,606526,NETWORK_TIMEOUT,0.9146,retry,retry,True,Action permitted under current policy.,[],SUCCESS,606526,1788630971
pay_00000000000186,122755,UPI_FAILURE,0.8501,switch_to_card,switch_to_card,True,Action permitted under current policy.,[],FAILURE,0,1788630971
pay_00000000000187,761248,CARD_FAILURE,0.1498,retry,stop,False,P(recovery)=0.15 below floor (0.2); stopping.,['below_probability_floor'],NO_ACTION,0,1788630971
